event_id,customer_id,event_time,plan_mrr,currency,event_type
EVT_01337,CUST_0075,2025-06-24 06:32:00,99,USD,upgrade
EVT_01340,CUST_0051,2025-05-12 11:58:00,299,USD,downgrade
EVT_00030,CUST_0113,2025-12-26 17:30:00,29,USD,downgrade
EVT_01122,CUST_0116,2025-04-04 03:32:00,0,USD,upgrade
EVT_01710,CUST_0101,2025-06-09 13:50:00,999,EUR,cancel
EVT_00136,CUST_0055,2025-03-11 11:01:00,29,USD,cancel
EVT_00652,CUST_0106,2025-10-11 04:47:00,299,USD,upgrade
EVT_01650,CUST_0073,2025-08-09 17:43:00,299,USD,downgrade
EVT_00681,CUST_0071,2025-10-29 06:10:00,0,USD,downgrade
EVT_01673,CUST_0056,2025-05-23 17:22:00,299,USD,upgrade
EVT_01455,CUST_0091,2025-12-28 04:56:00,0,USD,upgrade
EVT_01494,CUST_0028,2025-01-20 15:14:00,29,USD,cancel
EVT_01311,CUST_0094,2025-02-10 03:14:00,2514600,VND,upgrade
EVT_00556,CUST_0112,2025-09-12 03:22:00,7594600,VND,upgrade
EVT_01596,CUST_0075,2025-10-06 19:20:00,99,USD,cancel
EVT_00383,CUST_0061,2025-12-09 14:54:00,29,,upgrade
EVT_00174,CUST_0051,2025-09-09 19:39:00,0,VND,downgrade
EVT_00110,CUST_0088,2025-05-25 00:53:00,29,USD,signup
EVT_00571,CUST_0056,2025-12-11 13:39:00,99,USD,cancel
EVT_00536,CUST_0018,2025-10-31 09:10:00,299,USD,upgrade
EVT_01605,CUST_0047,2025-05-13 21:41:00,99,EUR,upgrade
EVT_01028,CUST_0028,2025-09-15 08:28:00,999,USD,downgrade
EVT_00865,CUST_0042,2025-04-03 11:40:00,29,EUR,signup
EVT_00240,CUST_0110,2025-01-31 20:56:00,29,USD,signup
EVT_00112,CUST_0068,2025-07-18 18:35:00,29,EUR,upgrade
EVT_01661,CUST_0106,2025-05-01 18:21:00,99,USD,signup
EVT_00949,CUST_0016,2025-08-16 05:00:00,29,USD,upgrade
EVT_00590,CUST_0113,2025-03-07 11:03:00,29,USD,downgrade
EVT_00818,CUST_0051,2025-08-14 11:10:00,2514600,VND,downgrade
EVT_00024,CUST_0034,2025-05-14 16:37:00,0,USD,upgrade
EVT_01568,CUST_0078,2025-06-03 11:26:00,29,USD,downgrade
EVT_01790,CUST_0105,2025-09-19 11:20:00,99,USD,signup
EVT_01256,CUST_0024,2025-11-13 07:18:00,0,USD,upgrade
EVT_00519,CUST_0081,2025-10-28 01:28:00,736600,VND,downgrade
EVT_00430,CUST_0045,2025-06-28 02:20:00,29,USD,upgrade
EVT_00655,CUST_0089,2025-06-29 13:54:00,99,USD,downgrade
EVT_00332,CUST_0026,2025-03-22 15:42:00,29,USD,signup
EVT_00189,CUST_0046,2025-08-02 06:46:00,736600,VND,signup
EVT_01726,CUST_0105,2025-12-09 03:14:00,0,USD,upgrade
EVT_00384,CUST_0063,2025-10-09 21:32:00,29,USD,signup
EVT_00439,CUST_0065,2025-07-08 15:32:00,29,USD,upgrade
EVT_01776,CUST_0017,2025-10-21 21:10:00,0,USD,signup
EVT_00591,CUST_0023,2025-09-08 10:07:00,99,USD,upgrade
EVT_00211,CUST_0101,2025-05-02 22:38:00,29,USD,downgrade
EVT_00221,CUST_0014,2025-01-29 08:56:00,736600,VND,downgrade
EVT_00204,CUST_0026,2025-12-16 15:06:00,29,USD,upgrade
EVT_00440,CUST_0075,2025-12-19 11:16:00,29,USD,signup
EVT_01620,CUST_0066,2025-11-21 10:03:00,99,USD,cancel
EVT_01518,CUST_0068,2025-07-16 00:55:00,0,USD,signup
EVT_01742,CUST_0031,2025-12-09 20:35:00,0,EUR,downgrade
EVT_00583,CUST_0042,2025-11-18 03:49:00,0,USD,upgrade
EVT_01734,CUST_0079,2025-01-11 12:22:00,29,USD,signup
EVT_00484,CUST_0071,2025-09-17 04:42:00,29,USD,cancel
EVT_01250,CUST_0054,2025-10-15 03:37:00,99,EUR,downgrade
EVT_00783,CUST_0104,2025-04-29 20:30:00,736600,VND,upgrade
EVT_00482,CUST_0089,2025-07-08 11:49:00,29,USD,downgrade
EVT_00515,CUST_0065,2025-08-24 16:44:00,29,USD,upgrade
EVT_00950,CUST_0090,2025-07-14 22:34:00,99,EUR,signup
EVT_00969,CUST_0017,2025-11-11 09:13:00,29,USD,upgrade
EVT_00612,CUST_0057,2025-07-16 21:15:00,999,EUR,signup
EVT_00803,CUST_0080,2025-12-03 21:37:00,99,EUR,downgrade
EVT_00528,CUST_0013,2025-05-15 16:23:00,299,USD,downgrade
EVT_00768,CUST_0115,2025-02-15 23:52:00,736600,VND,upgrade
EVT_00599,CUST_0031,2025-04-26 03:33:00,0,USD,upgrade
EVT_00116,CUST_0094,2025-07-08 20:14:00,0,USD,downgrade
EVT_00507,CUST_0031,2025-11-14 12:06:00,2514600,VND,upgrade
EVT_00545,CUST_0054,2025-04-06 13:35:00,29,USD,signup
EVT_00351,CUST_0105,2025-07-22 16:46:00,99,USD,upgrade
EVT_01388,CUST_0028,2025-09-09 19:15:00,29,USD,signup
EVT_01718,CUST_0092,2025-07-13 12:26:00,29,EUR,downgrade
EVT_01752,CUST_0038,2025-03-14 09:09:00,736600,VND,signup
EVT_01051,CUST_0048,2025-10-16 05:38:00,299,EUR,downgrade
EVT_01202,CUST_0018,2025-09-03 00:55:00,0,USD,downgrade
EVT_00276,CUST_0084,2025-01-06 17:12:00,736600,VND,upgrade
EVT_00345,CUST_0065,2025-06-01 20:23:00,0,USD,signup
EVT_01777,CUST_0035,2025-10-12 06:46:00,29,USD,downgrade
EVT_01217,CUST_0087,2025-08-04 02:54:00,99,USD,upgrade
EVT_00711,CUST_0029,2025-08-23 20:59:00,299,EUR,downgrade
EVT_00343,CUST_0115,2025-05-25 18:32:00,0,USD,upgrade
EVT_01197,CUST_0022,2025-06-20 00:46:00,29,EUR,upgrade
EVT_00483,CUST_0014,2025-08-17 16:12:00,299,EUR,signup
EVT_00887,CUST_0091,2025-02-21 06:14:00,0,EUR,downgrade
EVT_00333,CUST_0095,2025-04-11 19:14:00,999,USD,signup
EVT_01166,CUST_0012,2025-06-04 18:09:00,0,USD,signup
EVT_00125,CUST_0009,2025-07-15 10:54:00,299,USD,downgrade
EVT_00544,CUST_0011,2025-11-24 04:55:00,99,EUR,cancel
EVT_01125,CUST_0115,2025-10-06 16:52:00,99,EUR,signup
EVT_00050,CUST_0098,2025-05-04 15:06:00,29,USD,signup
EVT_01212,CUST_0017,2025-09-21 21:21:00,29,USD,upgrade
EVT_00427,CUST_0108,2025-05-29 21:50:00,29,EUR,downgrade
EVT_00701,CUST_0064,2025-05-26 01:22:00,99,EUR,upgrade
EVT_01161,CUST_0107,2025-01-09 19:35:00,29,USD,downgrade
EVT_01778,CUST_0085,2025-06-13 00:15:00,0,USD,downgrade
EVT_00893,CUST_0096,2025-04-15 08:44:00,2514600,VND,downgrade
EVT_01165,CUST_0044,2025-03-24 05:05:00,29,USD,upgrade
EVT_01512,CUST_0012,2025-10-29 03:02:00,99,USD,cancel
EVT_01788,CUST_0024,2025-07-27 07:03:00,7594600,VND,upgrade
EVT_01209,CUST_0072,2025-07-13 07:07:00,736600,VND,downgrade
EVT_01766,CUST_0113,2025-05-26 14:26:00,2514600,VND,signup
EVT_00234,CUST_0085,2025-09-06 11:50:00,99,USD,upgrade
EVT_00079,CUST_0067,2025-03-17 16:50:00,29,USD,signup
EVT_00882,CUST_0114,2025-03-06 00:00:00,99,EUR,signup
EVT_00615,CUST_0117,2025-02-17 03:56:00,29,USD,downgrade
EVT_00415,CUST_0070,2025-05-16 06:44:00,0,EUR,cancel
EVT_00074,CUST_0013,2025-12-08 23:00:00,99,EUR,cancel
EVT_00621,CUST_0004,2025-11-09 01:24:00,29,USD,downgrade
EVT_00070,CUST_0080,2025-09-25 17:42:00,2514600,VND,signup
EVT_01608,CUST_0037,2025-07-19 01:10:00,2514600,,signup
EVT_01319,CUST_0021,2025-07-30 11:44:00,29,USD,upgrade
EVT_00786,CUST_0065,2025-10-28 01:15:00,7594600,VND,upgrade
EVT_00778,CUST_0109,2025-06-22 21:11:00,99,EUR,upgrade
EVT_01755,CUST_0084,2025-07-18 21:05:00,736600,VND,cancel
EVT_00451,CUST_0071,2025-02-11 07:36:00,29,USD,cancel
EVT_00846,CUST_0089,2025-04-11 09:48:00,299,EUR,upgrade
EVT_00845,CUST_0021,2025-04-26 02:01:00,0,VND,cancel
EVT_00868,CUST_0033,2025-03-29 13:25:00,99,EUR,signup
EVT_00850,CUST_0081,2025-08-20 22:41:00,99,USD,signup
EVT_01263,CUST_0086,2025-07-13 08:23:00,29,USD,downgrade
EVT_00077,CUST_0033,2025-01-17 06:35:00,0,EUR,upgrade
EVT_01506,CUST_0107,2025-10-05 18:16:00,0,VND,upgrade
EVT_00938,CUST_0024,2025-12-01 18:13:00,2514600,VND,downgrade
EVT_01522,CUST_0025,2025-06-17 14:20:00,99,USD,downgrade
EVT_01287,CUST_0076,2025-12-29 17:21:00,2514600,VND,signup
EVT_00781,CUST_0113,2025-12-21 13:00:00,29,USD,downgrade
EVT_01363,CUST_0046,2025-01-05 10:15:00,2514600,VND,signup
EVT_01327,CUST_0033,2025-11-15 15:15:00,99,EUR,signup
EVT_00702,CUST_0078,2025-08-12 06:33:00,99,USD,upgrade
EVT_01240,CUST_0018,2025-10-31 20:52:00,29,EUR,signup
EVT_00706,CUST_0098,2025-02-05 06:55:00,99,USD,cancel
EVT_01321,CUST_0106,2025-05-22 21:20:00,99,USD,upgrade
EVT_00031,CUST_0061,2025-05-26 08:33:00,299,EUR,upgrade
EVT_01320,CUST_0115,2025-12-01 06:04:00,29,USD,signup
EVT_01465,CUST_0048,2025-05-23 06:35:00,29,EUR,signup
EVT_01636,CUST_0090,2025-01-20 10:34:00,0,EUR,signup
EVT_00368,CUST_0067,2025-02-28 21:06:00,736600,VND,upgrade
EVT_00409,CUST_0068,2025-11-18 02:07:00,0,EUR,downgrade
EVT_01030,CUST_0040,2025-04-18 10:10:00,2514600,VND,upgrade
EVT_01396,CUST_0055,2025-02-24 12:59:00,736600,VND,downgrade
EVT_01413,CUST_0043,2025-09-25 23:38:00,299,USD,upgrade
EVT_00100,CUST_0068,2025-10-11 11:37:00,99,USD,downgrade
EVT_01145,CUST_0053,2025-07-17 02:22:00,29,USD,signup
EVT_01109,CUST_0008,2025-12-23 05:11:00,999,USD,downgrade
EVT_01638,CUST_0008,2025-02-21 22:35:00,0,USD,cancel
EVT_01090,CUST_0082,2025-12-14 23:39:00,736600,VND,upgrade
EVT_00856,CUST_0042,2025-06-18 03:47:00,99,USD,upgrade
EVT_00788,CUST_0112,2025-03-21 22:19:00,29,USD,signup
EVT_00169,CUST_0060,2025-06-14 21:40:00,99,USD,signup
EVT_00943,CUST_0051,2025-06-18 21:15:00,29,EUR,downgrade
EVT_00213,CUST_0116,2025-06-30 04:30:00,0,VND,signup
EVT_01545,CUST_0032,2025-07-21 11:59:00,0,EUR,signup
EVT_01044,CUST_0011,2025-09-25 04:15:00,2514600,VND,downgrade
EVT_01728,CUST_0049,2025-11-14 05:19:00,0,USD,downgrade
EVT_00481,CUST_0013,2025-08-02 16:23:00,99,USD,downgrade
EVT_01594,CUST_0071,2025-10-06 11:08:00,0,VND,cancel
EVT_01441,CUST_0010,2025-01-10 23:45:00,0,USD,signup
EVT_01747,CUST_0079,2025-03-08 19:44:00,29,USD,cancel
EVT_00033,CUST_0074,2025-05-25 03:43:00,99,USD,cancel
EVT_00918,CUST_0100,2025-12-01 06:12:00,99,EUR,cancel
EVT_01164,CUST_0017,2025-11-08 16:27:00,0,VND,cancel
EVT_00421,CUST_0098,2025-05-27 18:11:00,29,USD,upgrade
EVT_01443,CUST_0092,2025-06-12 02:43:00,99,EUR,downgrade
EVT_01188,CUST_0005,2025-08-02 15:22:00,29,EUR,downgrade
EVT_01305,CUST_0108,2025-12-28 23:00:00,736600,VND,signup
EVT_00904,CUST_0016,2025-05-04 08:50:00,736600,VND,cancel
EVT_00186,CUST_0024,2025-10-31 08:29:00,99,USD,upgrade
EVT_00963,CUST_0084,2025-04-25 05:00:00,29,USD,signup
EVT_01541,CUST_0088,2025-11-21 13:42:00,0,USD,upgrade
EVT_00271,CUST_0023,2025-10-14 14:14:00,999,EUR,signup
EVT_00045,CUST_0118,2025-10-15 03:22:00,0,VND,cancel
EVT_00372,CUST_0034,2025-08-12 00:05:00,99,USD,signup
EVT_00584,CUST_0120,2025-03-09 20:36:00,299,USD,cancel
EVT_00942,CUST_0116,2025-08-08 05:22:00,29,USD,downgrade
EVT_00819,CUST_0053,2025-11-10 04:39:00,736600,VND,cancel
EVT_00197,CUST_0085,2025-03-17 08:15:00,29,EUR,downgrade
EVT_00899,CUST_0035,2025-09-26 17:15:00,29,USD,downgrade
EVT_01008,CUST_0087,2025-07-02 16:00:00,2514600,VND,signup
EVT_00238,CUST_0076,2025-02-12 23:21:00,29,USD,downgrade
EVT_00060,CUST_0056,2025-02-06 23:38:00,2514600,VND,upgrade
EVT_01227,CUST_0019,2025-07-23 10:05:00,999,USD,upgrade
EVT_00399,CUST_0094,2025-09-26 21:24:00,29,EUR,signup
EVT_00989,CUST_0101,2025-09-18 09:40:00,0,USD,upgrade
EVT_01470,CUST_0074,2025-06-25 09:56:00,299,USD,upgrade
EVT_00366,CUST_0110,2025-01-15 22:57:00,299,EUR,signup
EVT_01561,CUST_0050,2025-09-08 23:39:00,99,EUR,cancel
EVT_00308,CUST_0112,2025-05-02 11:08:00,736600,VND,signup
EVT_01453,CUST_0092,2025-12-28 05:57:00,299,EUR,downgrade
EVT_01273,CUST_0091,2025-08-29 23:45:00,7594600,VND,downgrade
EVT_00124,CUST_0084,2025-03-25 05:51:00,999,EUR,upgrade
EVT_00772,CUST_0026,2025-12-25 20:28:00,0,EUR,cancel
EVT_00255,CUST_0049,2025-07-25 06:52:00,299,EUR,signup
EVT_00306,CUST_0023,2025-04-23 05:16:00,299,EUR,upgrade
EVT_01023,CUST_0097,2025-07-11 22:23:00,29,EUR,cancel
EVT_00683,CUST_0046,2025-05-02 00:35:00,0,,signup
EVT_01117,CUST_0014,2025-12-03 12:40:00,29,USD,upgrade
EVT_01552,CUST_0011,2025-02-15 21:50:00,29,EUR,signup
EVT_01637,CUST_0068,2025-04-28 12:22:00,299,EUR,upgrade
EVT_01369,CUST_0061,2025-03-13 17:00:00,0,USD,signup
EVT_01475,CUST_0107,2025-09-18 08:44:00,999,EUR,upgrade
EVT_01180,CUST_0077,2025-06-07 18:47:00,29,USD,downgrade
EVT_01780,CUST_0003,2025-10-06 23:12:00,29,USD,downgrade
EVT_00298,CUST_0046,2025-09-28 01:42:00,29,USD,cancel
EVT_01014,CUST_0051,2025-06-03 02:24:00,29,EUR,downgrade
EVT_00367,CUST_0044,2025-03-06 04:50:00,99,USD,downgrade
EVT_01437,CUST_0079,2025-02-27 13:42:00,0,VND,downgrade
EVT_01548,CUST_0057,2025-12-25 16:18:00,999,EUR,signup
EVT_01760,CUST_0069,2025-09-02 00:25:00,99,USD,downgrade
EVT_00352,CUST_0053,2025-02-15 10:22:00,0,VND,cancel
EVT_00068,CUST_0023,2025-01-19 03:16:00,29,USD,upgrade
EVT_01081,CUST_0118,2025-02-08 16:21:00,99,USD,upgrade
EVT_01612,CUST_0112,2025-11-12 16:36:00,299,USD,cancel
EVT_00746,CUST_0038,2025-05-31 21:27:00,29,USD,downgrade
EVT_01269,CUST_0079,2025-09-30 16:18:00,99,USD,upgrade
EVT_01736,CUST_0024,2025-04-25 10:02:00,0,USD,signup
EVT_00395,CUST_0040,2025-01-19 02:19:00,29,USD,cancel
EVT_00734,CUST_0109,2025-04-08 16:09:00,0,VND,cancel
EVT_00814,CUST_0054,2025-12-03 18:13:00,29,USD,upgrade
EVT_01351,CUST_0091,2025-02-09 18:21:00,29,USD,signup
EVT_00304,CUST_0010,2025-04-06 05:05:00,29,EUR,upgrade
EVT_00594,CUST_0011,2025-05-14 01:29:00,0,USD,downgrade
EVT_01380,CUST_0073,2025-04-16 16:24:00,736600,VND,cancel
EVT_01425,CUST_0111,2025-05-23 23:17:00,299,USD,upgrade
EVT_01498,CUST_0110,2025-06-20 10:46:00,29,USD,downgrade
EVT_00317,CUST_0071,2025-01-16 16:37:00,29,USD,upgrade
EVT_01532,CUST_0096,2025-08-08 20:47:00,25374600,VND,cancel
EVT_00755,CUST_0023,2025-03-15 17:17:00,99,USD,signup
EVT_00644,CUST_0059,2025-07-10 03:40:00,299,USD,signup
EVT_00535,CUST_0013,2025-09-17 21:16:00,29,USD,signup
EVT_00756,CUST_0083,2025-06-08 08:27:00,0,EUR,upgrade
EVT_00262,CUST_0021,2025-10-26 15:05:00,999,EUR,upgrade
EVT_01085,CUST_0014,2025-06-21 09:23:00,999,USD,signup
EVT_00241,CUST_0058,2025-07-07 03:44:00,29,EUR,downgrade
EVT_00671,CUST_0092,2025-09-04 01:28:00,0,EUR,signup
EVT_00299,CUST_0110,2025-04-06 22:30:00,299,USD,signup
EVT_01111,CUST_0085,2025-08-18 05:03:00,99,USD,signup
EVT_00967,CUST_0077,2025-07-01 12:41:00,99,,downgrade
EVT_00847,CUST_0040,2025-09-22 08:18:00,29,USD,signup
EVT_00433,CUST_0021,2025-10-05 07:22:00,0,EUR,signup
EVT_00072,CUST_0012,2025-10-08 11:39:00,99,USD,signup
EVT_00382,CUST_0106,2025-09-25 12:52:00,29,USD,cancel
EVT_00260,CUST_0048,2025-05-15 22:52:00,7594600,VND,upgrade
EVT_00052,CUST_0010,2025-10-15 22:25:00,29,EUR,downgrade
EVT_00375,CUST_0083,2025-11-14 03:03:00,2514600,VND,upgrade
EVT_00340,CUST_0070,2025-01-17 05:56:00,736600,VND,upgrade
EVT_00533,CUST_0043,2025-04-01 18:15:00,29,USD,upgrade
EVT_01222,CUST_0009,2025-08-14 14:42:00,99,USD,downgrade
EVT_01315,CUST_0046,2025-08-23 23:22:00,29,EUR,signup
EVT_01064,CUST_0028,2025-02-02 20:06:00,99,USD,downgrade
EVT_01738,CUST_0081,2025-02-10 14:00:00,0,USD,cancel
EVT_01743,CUST_0118,2025-12-22 00:16:00,999,USD,signup
EVT_01056,CUST_0029,2025-10-25 20:18:00,2514600,VND,cancel
EVT_01231,CUST_0088,2025-04-21 11:18:00,0,USD,signup
EVT_00939,CUST_0037,2025-01-23 20:07:00,999,EUR,signup
EVT_01492,CUST_0011,2025-10-27 08:36:00,99,USD,signup
EVT_00426,CUST_0017,2025-12-12 14:43:00,99,EUR,upgrade
EVT_00463,CUST_0088,2025-07-15 19:30:00,29,USD,downgrade
EVT_00495,CUST_0103,2025-11-10 18:27:00,99,EUR,downgrade
EVT_00844,CUST_0010,2025-08-23 13:51:00,0,VND,upgrade
EVT_01540,CUST_0029,2025-08-13 16:04:00,29,USD,downgrade
EVT_00527,CUST_0061,2025-06-07 16:29:00,29,USD,upgrade
EVT_00142,CUST_0090,2025-02-03 23:34:00,29,USD,signup
EVT_01477,CUST_0082,2025-03-01 01:36:00,29,USD,signup
EVT_00618,CUST_0015,2025-02-08 20:03:00,29,USD,signup
EVT_01682,CUST_0114,2025-04-15 00:22:00,299,EUR,upgrade
EVT_00858,CUST_0096,2025-08-13 20:32:00,0,USD,signup
EVT_00434,CUST_0018,2025-11-08 16:56:00,29,EUR,downgrade
EVT_00999,CUST_0088,2025-02-06 15:29:00,29,EUR,signup
EVT_00272,CUST_0015,2025-08-30 03:34:00,99,USD,downgrade
EVT_00185,CUST_0114,2025-08-29 18:21:00,99,,signup
EVT_00773,CUST_0061,2025-08-31 06:37:00,29,USD,signup
EVT_00245,CUST_0085,2025-04-10 13:29:00,29,USD,downgrade
EVT_01464,CUST_0044,2025-12-22 02:35:00,29,USD,downgrade
EVT_01069,CUST_0088,2025-06-20 11:22:00,2514600,VND,signup
EVT_01461,CUST_0054,2025-07-12 22:30:00,0,VND,cancel
EVT_01400,CUST_0108,2025-02-23 18:57:00,29,USD,downgrade
EVT_01488,CUST_0077,2025-11-18 15:36:00,99,USD,signup
EVT_01482,CUST_0049,2025-01-06 20:21:00,29,EUR,upgrade
EVT_00908,CUST_0038,2025-12-05 13:53:00,99,USD,cancel
EVT_00603,CUST_0041,2025-03-27 22:50:00,299,EUR,upgrade
EVT_01767,CUST_0007,2025-09-29 11:30:00,29,USD,upgrade
EVT_01309,CUST_0107,2025-11-26 18:29:00,99,USD,upgrade
EVT_00251,CUST_0078,2025-01-03 15:19:00,2514600,VND,upgrade
EVT_00498,CUST_0087,2025-10-17 06:22:00,29,USD,upgrade
EVT_01178,CUST_0011,2025-09-18 00:18:00,99,EUR,downgrade
EVT_01291,CUST_0112,2025-10-01 16:02:00,29,USD,downgrade
EVT_01377,CUST_0033,2025-05-30 21:13:00,0,EUR,cancel
EVT_00355,CUST_0059,2025-06-25 21:47:00,0,EUR,signup
EVT_01054,CUST_0024,2025-07-05 00:21:00,999,EUR,downgrade
EVT_00619,CUST_0107,2025-12-20 10:47:00,29,USD,cancel
EVT_00629,CUST_0064,2025-11-14 01:28:00,29,USD,upgrade
EVT_01027,CUST_0116,2025-02-05 09:07:00,99,EUR,signup
EVT_01304,CUST_0009,2025-08-30 03:28:00,29,USD,upgrade
EVT_00416,CUST_0091,2025-06-19 16:48:00,0,USD,downgrade
EVT_00998,CUST_0111,2025-06-26 03:47:00,29,USD,downgrade
EVT_00171,CUST_0070,2025-08-20 11:51:00,0,EUR,upgrade
EVT_01567,CUST_0017,2025-03-18 06:51:00,99,USD,downgrade
EVT_00414,CUST_0056,2025-09-08 14:41:00,29,EUR,upgrade
EVT_01422,CUST_0055,2025-09-10 06:05:00,0,EUR,signup
EVT_00301,CUST_0051,2025-04-23 15:55:00,736600,VND,downgrade
EVT_01782,CUST_0026,2025-05-07 16:28:00,736600,VND,signup
EVT_00412,CUST_0053,2025-02-14 22:07:00,29,USD,signup
EVT_00766,CUST_0076,2025-08-02 21:23:00,99,EUR,downgrade
EVT_01466,CUST_0113,2025-12-07 09:19:00,99,USD,upgrade
EVT_01735,CUST_0013,2025-01-29 21:18:00,0,USD,upgrade
EVT_01270,CUST_0040,2025-02-12 18:58:00,736600,VND,cancel
EVT_01275,CUST_0037,2025-12-21 03:20:00,2514600,VND,signup
EVT_00833,CUST_0006,2025-01-23 18:08:00,99,USD,cancel
EVT_00837,CUST_0091,2025-06-19 17:18:00,29,EUR,signup
EVT_01104,CUST_0029,2025-05-28 07:36:00,0,USD,signup
EVT_00860,CUST_0054,2025-04-23 18:22:00,29,EUR,downgrade
EVT_00568,CUST_0010,2025-11-13 09:33:00,29,EUR,signup
EVT_00176,CUST_0060,2025-08-17 03:41:00,299,USD,upgrade
EVT_01462,CUST_0050,2025-04-12 16:41:00,29,USD,cancel
EVT_00678,CUST_0072,2025-07-17 00:59:00,99,USD,upgrade
EVT_01395,CUST_0104,2025-10-26 21:37:00,299,USD,cancel
EVT_00335,CUST_0104,2025-06-15 15:40:00,99,EUR,downgrade
EVT_00760,CUST_0042,2025-01-02 07:43:00,99,USD,upgrade
EVT_00638,CUST_0083,2025-02-01 00:45:00,0,VND,downgrade
EVT_00894,CUST_0038,2025-11-20 08:29:00,736600,VND,cancel
EVT_01206,CUST_0081,2025-09-25 10:18:00,29,EUR,downgrade
EVT_00199,CUST_0101,2025-02-28 03:48:00,29,EUR,upgrade
EVT_00016,CUST_0078,2025-08-27 11:58:00,0,USD,downgrade
EVT_00266,CUST_0104,2025-02-11 16:39:00,0,USD,downgrade
EVT_00558,CUST_0001,2025-03-20 05:55:00,29,USD,upgrade
EVT_01034,CUST_0038,2025-10-11 02:09:00,2514600,VND,signup
