rate_date,currency,rate_to_usd
2025-03-17,USD,1.0
2025-03-18,EUR,1.0778
2025-03-18,VND,3.977e-05
2025-03-18,USD,1.0
2025-03-19,EUR,1.0783
2025-03-19,VND,3.94e-05
2025-03-19,USD,1.0
2025-03-20,EUR,1.0808
2025-03-20,VND,3.922e-05
2025-03-20,USD,1.0
2025-03-21,EUR,1.0818
2025-03-21,VND,3.939e-05
2025-03-21,USD,1.0
2025-03-22,EUR,1.0781
2025-03-22,VND,3.999e-05
2025-03-22,USD,1.0
2025-03-23,EUR,1.091
2025-03-23,VND,3.957e-05
2025-03-23,USD,1.0
2025-03-24,EUR,1.0858
2025-03-24,VND,3.958e-05
2025-03-24,USD,1.0
2025-03-25,EUR,1.0794
2025-03-25,VND,3.953e-05
2025-03-25,USD,1.0
2025-03-26,EUR,1.0798
2025-03-26,VND,3.924e-05
2025-03-26,USD,1.0
2025-03-27,EUR,1.0844
2025-03-27,VND,3.896e-05
2025-03-27,USD,1.0
2025-03-28,EUR,1.0859
2025-03-28,VND,3.946e-05
2025-03-28,USD,1.0
2025-03-29,EUR,1.0726
2025-03-29,VND,3.95e-05
2025-03-29,USD,1.0
2025-03-30,EUR,1.077
2025-03-30,VND,3.957e-05
2025-03-30,USD,1.0
2025-03-31,EUR,1.0773
2025-03-31,VND,3.913e-05
2025-03-31,USD,1.0
2025-04-01,EUR,1.0747
2025-04-01,VND,3.927e-05
2025-04-01,USD,1.0
2025-04-02,EUR,1.0804
2025-04-02,VND,3.953e-05
2025-04-02,USD,1.0
2025-04-03,EUR,1.0838
2025-04-03,VND,3.904e-05
2025-04-03,USD,1.0
2025-04-04,EUR,1.0798
2025-04-04,VND,3.959e-05
2025-04-04,USD,1.0
2025-04-05,EUR,1.0791
2025-04-05,VND,3.905e-05
2025-04-05,USD,1.0
2025-04-06,EUR,1.0697
2025-04-06,VND,3.934e-05
2025-04-06,USD,1.0
2025-04-07,EUR,1.0802
2025-04-07,VND,3.931e-05
2025-04-07,USD,1.0
2025-04-08,EUR,1.0829
2025-04-08,VND,3.939e-05
2025-04-08,USD,1.0
2025-04-09,EUR,1.0777
2025-04-09,VND,3.944e-05
2025-04-09,USD,1.0
2025-04-10,EUR,1.0696
2025-04-10,VND,3.96e-05
2025-04-10,USD,1.0
2025-04-11,EUR,1.0784
2025-04-11,VND,3.948e-05
2025-04-11,USD,1.0
2025-04-12,EUR,1.0794
2025-04-12,VND,3.921e-05
2025-04-12,USD,1.0
2025-04-13,EUR,1.0764
2025-04-13,VND,3.946e-05
2025-04-13,USD,1.0
2025-04-14,EUR,1.0861
2025-04-14,VND,3.919e-05
2025-04-14,USD,1.0
2025-04-15,EUR,1.081
2025-04-15,VND,3.926e-05
2025-04-15,USD,1.0
2025-04-16,EUR,1.0823
2025-04-16,VND,3.906e-05
2025-04-16,USD,1.0
2025-04-17,EUR,1.0885
2025-04-17,VND,3.925e-05
2025-04-17,USD,1.0
2025-04-18,EUR,1.0792
2025-04-18,VND,3.906e-05
2025-04-18,USD,1.0
2025-04-19,EUR,1.0794
2025-04-19,VND,3.949e-05
2025-04-19,USD,1.0
2025-04-20,EUR,1.0771
2025-04-20,VND,3.943e-05
2025-04-20,USD,1.0
2025-04-21,EUR,1.0698
2025-04-21,VND,3.942e-05
2025-04-21,USD,1.0
2025-04-22,EUR,1.0818
2025-04-22,VND,3.903e-05
2025-04-22,USD,1.0
2025-04-23,EUR,1.0862
2025-04-23,VND,3.942e-05
2025-04-23,USD,1.0
2025-04-24,EUR,1.0803
2025-04-24,VND,3.931e-05
2025-04-24,USD,1.0
2025-04-25,EUR,1.0762
2025-04-25,VND,3.929e-05
2025-04-25,USD,1.0
2025-04-26,EUR,1.0834
2025-04-26,VND,3.931e-05
2025-04-26,USD,1.0
2025-04-27,EUR,1.0827
2025-04-27,VND,3.919e-05
2025-04-27,USD,1.0
2025-04-28,EUR,1.0707
2025-04-28,VND,3.928e-05
2025-04-28,USD,1.0
2025-04-29,EUR,1.0803
2025-04-29,VND,3.933e-05
2025-04-29,USD,1.0
2025-04-30,EUR,1.0763
2025-04-30,VND,3.951e-05
2025-04-30,USD,1.0
2025-05-01,EUR,1.0835
2025-05-01,VND,3.926e-05
2025-05-01,USD,1.0
2025-05-02,EUR,1.0858
2025-05-02,VND,3.915e-05
2025-05-02,USD,1.0
2025-05-03,EUR,1.0857
2025-05-03,VND,3.963e-05
2025-05-03,USD,1.0
2025-05-04,EUR,1.078
2025-05-04,VND,3.925e-05
2025-05-04,USD,1.0
2025-05-05,EUR,1.0749
2025-05-05,VND,3.941e-05
2025-05-05,USD,1.0
2025-05-06,EUR,1.0789
2025-05-06,VND,3.951e-05
2025-05-06,USD,1.0
2025-05-07,EUR,1.0717
2025-05-07,VND,3.95e-05
2025-05-07,USD,1.0
2025-05-08,EUR,1.0751
2025-05-08,VND,3.95e-05
2025-05-08,USD,1.0
2025-05-09,EUR,1.0857
2025-05-09,VND,3.926e-05
2025-05-09,USD,1.0
2025-05-10,EUR,1.0767
2025-05-10,VND,3.959e-05
2025-05-10,USD,1.0
2025-05-11,EUR,1.084
2025-05-11,VND,3.934e-05
2025-05-11,USD,1.0
2025-05-12,EUR,1.0752
2025-05-12,VND,3.938e-05
2025-05-12,USD,1.0
2025-05-13,EUR,1.0826
2025-05-13,VND,3.939e-05
2025-05-13,USD,1.0
2025-05-14,EUR,1.0821
2025-05-14,VND,3.923e-05
2025-05-14,USD,1.0
2025-05-15,EUR,1.0714
2025-05-15,VND,3.953e-05
2025-05-15,USD,1.0
2025-05-16,EUR,1.0684
2025-05-16,VND,3.945e-05
2025-05-16,USD,1.0
2025-05-17,EUR,1.0793
2025-05-17,VND,3.929e-05
2025-05-17,USD,1.0
2025-05-18,EUR,1.0792
2025-05-18,VND,3.945e-05
2025-05-18,USD,1.0
2025-05-19,EUR,1.0699
2025-05-19,VND,3.933e-05
2025-05-19,USD,1.0
2025-05-20,EUR,1.0847
2025-05-20,VND,3.92e-05
2025-05-20,USD,1.0
2025-05-21,EUR,1.0838
2025-05-21,VND,3.95e-05
2025-05-21,USD,1.0
2025-05-22,EUR,1.08
2025-05-22,VND,3.952e-05
2025-05-22,USD,1.0
2025-05-23,EUR,1.077
2025-05-23,VND,3.94e-05
2025-05-23,USD,1.0
2025-05-24,EUR,1.0777
2025-05-24,VND,3.936e-05
2025-05-24,USD,1.0
2025-05-25,EUR,1.0841
2025-05-25,VND,3.939e-05
2025-05-25,USD,1.0
2025-05-26,EUR,1.0872
2025-05-26,VND,3.951e-05
2025-05-26,USD,1.0
2025-05-27,EUR,1.0864
2025-05-27,VND,3.967e-05
2025-05-27,USD,1.0
2025-05-28,EUR,1.0785
2025-05-28,VND,3.955e-05
2025-05-28,USD,1.0
2025-05-29,EUR,1.0768
2025-05-29,VND,3.933e-05
2025-05-29,USD,1.0
2025-05-30,EUR,1.0842
2025-05-30,VND,3.937e-05
2025-05-30,USD,1.0
2025-05-31,EUR,1.0783
2025-05-31,VND,3.951e-05
2025-05-31,USD,1.0
2025-06-01,EUR,1.0872
2025-06-01,VND,3.954e-05
2025-06-01,USD,1.0
2025-06-02,EUR,1.0731
2025-06-02,VND,3.902e-05
2025-06-02,USD,1.0
2025-06-03,EUR,1.0757
2025-06-03,VND,3.948e-05
2025-06-03,USD,1.0
2025-06-04,EUR,1.0737
2025-06-04,VND,3.933e-05
2025-06-04,USD,1.0
2025-06-05,EUR,1.0784
2025-06-05,VND,3.931e-05
2025-06-05,USD,1.0
2025-06-06,EUR,1.0852
2025-06-06,VND,3.944e-05
2025-06-06,USD,1.0
2025-06-07,EUR,1.0731
2025-06-07,VND,3.933e-05
2025-06-07,USD,1.0
2025-06-08,EUR,1.0758
2025-06-08,VND,3.938e-05
2025-06-08,USD,1.0
2025-06-09,EUR,1.0832
2025-06-09,VND,3.933e-05
2025-06-09,USD,1.0
2025-06-10,EUR,1.0817
2025-06-10,VND,3.967e-05
2025-06-10,USD,1.0
2025-06-11,EUR,1.0796
2025-06-11,VND,3.955e-05
2025-06-11,USD,1.0
2025-06-12,EUR,1.0963
2025-06-12,VND,3.903e-05
2025-06-12,USD,1.0
2025-06-13,EUR,1.075
2025-06-13,VND,3.935e-05
2025-06-13,USD,1.0
2025-06-14,EUR,1.0943
2025-06-14,VND,3.936e-05
2025-06-14,USD,1.0
2025-06-15,EUR,1.0751
2025-06-15,VND,3.933e-05
2025-06-15,USD,1.0
2025-06-16,EUR,1.0784
2025-06-16,VND,3.951e-05
2025-06-16,USD,1.0
2025-06-17,EUR,1.0864
2025-06-17,VND,3.925e-05
2025-06-17,USD,1.0
2025-06-18,EUR,1.0739
2025-06-18,VND,3.944e-05
2025-06-18,USD,1.0
2025-06-19,EUR,1.0896
2025-06-19,VND,3.925e-05
2025-06-19,USD,1.0
2025-06-20,EUR,1.0847
2025-06-20,VND,3.96e-05
2025-06-20,USD,1.0
2025-06-21,EUR,1.0804
2025-06-21,VND,3.892e-05
2025-06-21,USD,1.0
2025-06-22,EUR,1.0835
2025-06-22,VND,3.937e-05
2025-06-22,USD,1.0
2025-06-23,EUR,1.0747
2025-06-23,VND,3.958e-05
2025-06-23,USD,1.0
2025-06-24,EUR,1.0835
2025-06-24,VND,3.956e-05
2025-06-24,USD,1.0
2025-06-25,EUR,1.0838
2025-06-25,VND,3.908e-05
2025-06-25,USD,1.0
2025-06-26,EUR,1.0867
2025-06-26,VND,3.898e-05
2025-06-26,USD,1.0
2025-06-27,EUR,1.0737
2025-06-27,VND,3.931e-05
2025-06-27,USD,1.0
2025-06-28,EUR,1.0881
2025-06-28,VND,3.942e-05
2025-06-28,USD,1.0
2025-06-29,EUR,1.0869
2025-06-29,VND,3.985e-05
2025-06-29,USD,1.0
2025-06-30,EUR,1.0758
2025-06-30,VND,3.918e-05
2025-06-30,USD,1.0
2025-07-01,EUR,1.079
2025-07-01,VND,3.934e-05
2025-07-01,USD,1.0
2025-07-02,EUR,1.0793
2025-07-02,VND,3.921e-05
2025-07-02,USD,1.0
2025-07-03,EUR,1.0773
2025-07-03,VND,3.966e-05
2025-07-03,USD,1.0
2025-07-04,EUR,1.0851
2025-07-04,VND,3.919e-05
2025-07-04,USD,1.0
2025-07-05,EUR,1.0785
2025-07-05,VND,3.978e-05
2025-07-05,USD,1.0
2025-07-06,EUR,1.0833
2025-07-06,VND,3.919e-05
2025-07-06,USD,1.0
2025-07-07,EUR,1.0751
2025-07-07,VND,3.882e-05
2025-07-07,USD,1.0
2025-07-08,EUR,1.0796
2025-07-08,VND,3.937e-05
2025-07-08,USD,1.0
2025-07-09,EUR,1.0815
2025-07-09,VND,3.973e-05
2025-07-09,USD,1.0
2025-07-10,EUR,1.0783
2025-07-10,VND,3.901e-05
2025-07-10,USD,1.0
2025-07-11,EUR,1.0764
2025-07-11,VND,3.957e-05
2025-07-11,USD,1.0
2025-07-12,EUR,1.0845
2025-07-12,VND,3.942e-05
2025-07-12,USD,1.0
2025-07-13,EUR,1.0759
2025-07-13,VND,3.957e-05
2025-07-13,USD,1.0
2025-07-14,EUR,1.0857
2025-07-14,VND,3.926e-05
2025-07-14,USD,1.0
2025-07-15,EUR,1.0757
2025-07-15,VND,3.932e-05
2025-07-15,USD,1.0
2025-07-16,EUR,1.0805
2025-07-16,VND,3.921e-05
2025-07-16,USD,1.0
2025-07-17,EUR,1.0674
2025-07-17,VND,3.915e-05
2025-07-17,USD,1.0
2025-07-18,EUR,1.0728
2025-07-18,VND,3.937e-05
2025-07-18,USD,1.0
2025-07-19,EUR,1.0745
2025-07-19,VND,3.941e-05
2025-07-19,USD,1.0
2025-07-20,EUR,1.0774
2025-07-20,VND,3.955e-05
2025-07-20,USD,1.0
2025-07-21,EUR,1.0716
2025-07-21,VND,3.946e-05
2025-07-21,USD,1.0
2025-07-22,EUR,1.0836
2025-07-22,VND,3.933e-05
2025-07-22,USD,1.0
2025-07-23,EUR,1.0857
2025-07-23,VND,3.975e-05
2025-07-23,USD,1.0
2025-07-24,EUR,1.0778
2025-07-24,VND,3.886e-05
2025-07-24,USD,1.0
2025-07-25,EUR,1.0816
2025-07-25,VND,3.903e-05
2025-07-25,USD,1.0
2025-07-26,EUR,1.0709
2025-07-26,VND,3.967e-05
2025-07-26,USD,1.0
2025-07-27,EUR,1.0754
2025-07-27,VND,3.946e-05
2025-07-27,USD,1.0
2025-07-28,EUR,1.0824
2025-07-28,VND,3.912e-05
2025-07-28,USD,1.0
2025-07-29,EUR,1.0735
2025-07-29,VND,3.932e-05
2025-07-29,USD,1.0
2025-07-30,EUR,1.0826
2025-07-30,VND,3.906e-05
2025-07-30,USD,1.0
2025-07-31,EUR,1.0716
2025-07-31,VND,3.956e-05
2025-07-31,USD,1.0
2025-08-01,EUR,1.0753
2025-08-01,VND,3.93e-05
2025-08-01,USD,1.0
2025-08-02,EUR,1.079
2025-08-02,VND,3.965e-05
2025-08-02,USD,1.0
2025-08-03,EUR,1.0743
2025-08-03,VND,3.949e-05
2025-08-03,USD,1.0
2025-08-04,EUR,1.0836
2025-08-04,VND,3.944e-05
2025-08-04,USD,1.0
2025-08-05,EUR,1.0796
2025-08-05,VND,3.932e-05
2025-08-05,USD,1.0
2025-08-06,EUR,1.0753
2025-08-06,VND,3.91e-05
2025-08-06,USD,1.0
2025-08-07,EUR,1.0693
2025-08-07,VND,3.901e-05
2025-08-07,USD,1.0
2025-08-08,EUR,1.0733
2025-08-08,VND,3.91e-05
2025-08-08,USD,1.0
2025-08-09,EUR,1.0893
2025-08-09,VND,3.917e-05
2025-08-09,USD,1.0
2025-08-10,EUR,1.0856
2025-08-10,VND,3.95e-05
2025-08-10,USD,1.0
2025-08-11,EUR,1.0862
2025-08-11,VND,3.908e-05
2025-08-11,USD,1.0
2025-08-12,EUR,1.0845
2025-08-12,VND,3.923e-05
2025-08-12,USD,1.0
2025-08-13,EUR,1.0757
2025-08-13,VND,3.959e-05
2025-08-13,USD,1.0
2025-08-14,EUR,1.0857
2025-08-14,VND,3.934e-05
2025-08-14,USD,1.0
2025-08-15,EUR,1.0742
2025-08-15,VND,3.901e-05
2025-08-15,USD,1.0
2025-08-16,EUR,1.0798
2025-08-16,VND,3.934e-05
2025-08-16,USD,1.0
2025-08-17,EUR,1.0798
2025-08-17,VND,3.941e-05
2025-08-17,USD,1.0
2025-08-18,EUR,1.0812
2025-08-18,VND,3.927e-05
2025-08-18,USD,1.0
2025-08-19,EUR,1.0756
2025-08-19,VND,3.94e-05
2025-08-19,USD,1.0
2025-08-20,EUR,1.0745
2025-08-20,VND,3.955e-05
2025-08-20,USD,1.0
2025-08-21,EUR,1.0802
2025-08-21,VND,3.941e-05
2025-08-21,USD,1.0
2025-08-22,EUR,1.0806
2025-08-22,VND,3.945e-05
2025-08-22,USD,1.0
2025-08-23,EUR,1.0835
2025-08-23,VND,3.924e-05
2025-08-23,USD,1.0
2025-08-24,EUR,1.0775
2025-08-24,VND,3.916e-05
2025-08-24,USD,1.0
2025-08-25,EUR,1.0857
2025-08-25,VND,3.913e-05
2025-08-25,USD,1.0
2025-08-26,EUR,1.0884
2025-08-26,VND,3.944e-05
2025-08-26,USD,1.0
2025-08-27,EUR,1.0796
2025-08-27,VND,3.895e-05
2025-08-27,USD,1.0
2025-08-28,EUR,1.0802
2025-08-28,VND,3.924e-05
2025-08-28,USD,1.0
2025-08-29,EUR,1.0793
2025-08-29,VND,3.949e-05
2025-08-29,USD,1.0
2025-08-30,EUR,1.0797
2025-08-30,VND,3.919e-05
2025-08-30,USD,1.0
2025-08-31,EUR,1.0918
2025-08-31,VND,3.964e-05
2025-08-31,USD,1.0
2025-09-01,EUR,1.0844
2025-09-01,VND,3.978e-05
2025-09-01,USD,1.0
2025-09-02,EUR,1.0793
2025-09-02,VND,3.964e-05
2025-09-02,USD,1.0
2025-09-03,EUR,1.0834
2025-09-03,VND,3.901e-05
2025-09-03,USD,1.0
2025-09-04,EUR,1.0858
2025-09-04,VND,3.928e-05
2025-09-04,USD,1.0
2025-09-05,EUR,1.0862
2025-09-05,VND,3.906e-05
2025-09-05,USD,1.0
2025-09-06,EUR,1.0867
2025-09-06,VND,3.915e-05
2025-09-06,USD,1.0
2025-09-07,EUR,1.0777
2025-09-07,VND,3.955e-05
2025-09-07,USD,1.0
2025-09-08,EUR,1.0846
2025-09-08,VND,3.925e-05
2025-09-08,USD,1.0
2025-09-09,EUR,1.08
2025-09-09,VND,3.928e-05
2025-09-09,USD,1.0
2025-09-10,EUR,1.0847
2025-09-10,VND,3.97e-05
2025-09-10,USD,1.0
2025-09-11,EUR,1.0758
2025-09-11,VND,3.935e-05
2025-09-11,USD,1.0
2025-09-12,EUR,1.0802
2025-09-12,VND,3.948e-05
2025-09-12,USD,1.0
2025-09-13,EUR,1.0862
2025-09-13,VND,3.952e-05
2025-09-13,USD,1.0
2025-09-14,EUR,1.076
2025-09-14,VND,3.949e-05
2025-09-14,USD,1.0
2025-09-15,EUR,1.0838
2025-09-15,VND,3.95e-05
2025-09-15,USD,1.0
2025-09-16,EUR,1.0823
2025-09-16,VND,3.973e-05
2025-09-16,USD,1.0
2025-09-17,EUR,1.0802
2025-09-17,VND,3.954e-05
2025-09-17,USD,1.0
2025-09-18,EUR,1.0727
2025-09-18,VND,3.899e-05
2025-09-18,USD,1.0
2025-09-19,EUR,1.0763
2025-09-19,VND,3.953e-05
2025-09-19,USD,1.0
2025-09-20,EUR,1.0788
2025-09-20,VND,3.932e-05
2025-09-20,USD,1.0
2025-09-21,EUR,1.0775
2025-09-21,VND,3.947e-05
2025-09-21,USD,1.0
2025-09-22,EUR,1.086
2025-09-22,VND,3.928e-05
2025-09-22,USD,1.0
2025-09-23,EUR,1.0832
2025-09-23,VND,3.948e-05
2025-09-23,USD,1.0
2025-09-24,EUR,1.0794
2025-09-24,VND,3.93e-05
2025-09-24,USD,1.0
2025-09-25,EUR,1.078
2025-09-25,VND,3.934e-05
2025-09-25,USD,1.0
2025-09-26,EUR,1.0853
2025-09-26,VND,3.923e-05
2025-09-26,USD,1.0
2025-09-27,EUR,1.0849
2025-09-27,VND,3.984e-05
2025-09-27,USD,1.0
2025-09-28,EUR,1.0748
2025-09-28,VND,3.951e-05
2025-09-28,USD,1.0
2025-09-29,EUR,1.069
2025-09-29,VND,3.934e-05
2025-09-29,USD,1.0
2025-09-30,EUR,1.0837
2025-09-30,VND,3.937e-05
2025-09-30,USD,1.0
2025-10-01,EUR,1.078
2025-10-01,VND,3.966e-05
2025-10-01,USD,1.0
2025-10-02,EUR,1.0797
2025-10-02,VND,3.903e-05
2025-10-02,USD,1.0
2025-10-03,EUR,1.0783
2025-10-03,VND,3.909e-05
2025-10-03,USD,1.0
2025-10-04,EUR,1.0859
2025-10-04,VND,3.955e-05
2025-10-04,USD,1.0
2025-10-05,EUR,1.0808
2025-10-05,VND,3.968e-05
2025-10-05,USD,1.0
2025-10-06,EUR,1.0787
2025-10-06,VND,3.918e-05
2025-10-06,USD,1.0
2025-10-07,EUR,1.0897
2025-10-07,VND,3.937e-05
2025-10-07,USD,1.0
2025-10-08,EUR,1.0846
2025-10-08,VND,3.927e-05
2025-10-08,USD,1.0
2025-10-09,EUR,1.0733
2025-10-09,VND,3.932e-05
2025-10-09,USD,1.0
2025-10-10,EUR,1.0674
2025-10-10,VND,3.983e-05
2025-10-10,USD,1.0
2025-10-11,EUR,1.0861
2025-10-11,VND,3.926e-05
2025-10-11,USD,1.0
2025-10-12,EUR,1.0787
2025-10-12,VND,3.927e-05
2025-10-12,USD,1.0
2025-10-13,EUR,1.0758
2025-10-13,VND,3.949e-05
2025-10-13,USD,1.0
2025-10-14,EUR,1.0849
2025-10-14,VND,3.964e-05
2025-10-14,USD,1.0
2025-10-15,EUR,1.0805
2025-10-15,VND,3.936e-05
2025-10-15,USD,1.0
2025-10-16,EUR,1.0824
2025-10-16,VND,3.931e-05
2025-10-16,USD,1.0
2025-10-17,EUR,1.0775
2025-10-17,VND,3.926e-05
2025-10-17,USD,1.0
2025-10-18,EUR,1.0808
2025-10-18,VND,3.949e-05
2025-10-18,USD,1.0
2025-10-19,EUR,1.0797
2025-10-19,VND,3.938e-05
2025-10-19,USD,1.0
2025-10-20,EUR,1.0777
2025-10-20,VND,3.937e-05
2025-10-20,USD,1.0
2025-10-21,EUR,1.0765
2025-10-21,VND,3.928e-05
2025-10-21,USD,1.0
2025-10-22,EUR,1.0876
2025-10-22,VND,3.91e-05
2025-10-22,USD,1.0
2025-10-23,EUR,1.0796
2025-10-23,VND,3.929e-05
2025-10-23,USD,1.0
2025-10-24,EUR,1.078
2025-10-24,VND,3.955e-05
2025-10-24,USD,1.0
2025-10-25,EUR,1.0838
2025-10-25,VND,3.944e-05
